Rank,Account name,Owner,"Brand
account","Followers
(millions)",Occupation,Citizenship
1,@BarackObama,Barack Obama,-,133.4,44th President of the United States, United States
2,@elonmusk,Elon Musk,-,123.9,"Business magnate, investor, and owner of Twitter", United States
3,@justinbieber,Justin Bieber,-,113.6,Musician, Canada
4,@katyperry,Katy Perry,-,108.7,Musician, United States
5,@rihanna,Rihanna,-,107.4,Musician, Barbados
6,@Cristiano,Cristiano Ronaldo,-,106.3,Football player, Portugal
7,@taylorswift13,Taylor Swift,-,92.0,Musician, United States
8,@realDonaldTrump,Donald Trump,-,87.8,45th President of the United States, United States
9,@narendramodi,Narendra Modi,-,85.1,Prime Minister of India, India
10,@ladygaga,Lady Gaga,-,84.9,Musician and actress, United States
11,@YouTube,YouTube,+,77.9,Online video sharing platform, United States
12,@TheEllenShow,Ellen DeGeneres,-,76.9,Comedian and television host, United States
13,@KimKardashian,Kim Kardashian,-,74.3,Television personality and businesswoman, United States
14,@NASA,NASA,+,67.6,Space agency, United States
15,@selenagomez,Selena Gomez,-,66.4,Musician and actress, United States
16,@Twitter,Twitter,-,65.0,Social media platform, United States
17,@cnnbrk,CNN Breaking News,-,64.0,News channel, United States
18,@jtimberlake,Justin Timberlake,-,62.7,Musician and actor, United States
19,@BillGates,Bill Gates,-,61.2,Businessman and philanthropist, United States
20,@CNN,CNN,+,60.7,News channel, United States
21,@neymarjr,Neymar,-,59.5,Football player, Brazil
22,@britneyspears,Britney Spears,-,56.0,Musician, United States
23,@nytimes,The New York Times,+,54.7,Newspaper, United States
24,@ddlovato,Demi Lovato,-,53.9,Musician and actress, United States
25,@shakira,Shakira,-,53.2,Musician, Colombia
26,@KingJames,LeBron James,-,52.4,Basketball player, United States
27,@imVkohli,Virat Kohli,-,52.2,Cricket player, India
28,@PMOIndia,PMO India,+,51.6,Office of the Prime Minister of India, India
29,@BBCBreaking,BBC Breaking News,+,51.4,News channel, United Kingdom
30,@jimmyfallon,Jimmy Fallon,-,51.2,Comedian and television host, United States
31,@SrBachchan,Amitabh Bachchan,-,48.1,Actor, India
32,@BTS_twt,BTS,-,47.8,Musicians, South Korea
33,@MileyCyrus,Miley Cyrus,-,46.7,Musician and actress, United States
34,@realmadrid,Real Madrid CF,+,45.8,Football club, Spain
35,@ChampionsLeague,UEFA Champions League,+,45.7,Football league, Europe
36,@JLo,Jennifer Lopez,-,45.4,Musician and actress, United States
37,@akshaykumar,Akshay Kumar,-,45.4,Actor," India
 Canada"
38,@FCBarcelona,FC Barcelona,+,45.2,Football club, Spain
39,@BeingSalmanKhan,Salman Khan,-,44.6,Actor, India
40,@espn,ESPN,+,43.6,Sports channel, United States
41,@BrunoMars,Bruno Mars,-,43.1,Musician, United States
42,@Oprah,Oprah Winfrey,-,43.0,Television personality, United States
43,@iamsrk,Shah Rukh Khan,-,42.8,Actor, India
44,@bts_bighit,BTS,-,42.2,Musicians, South Korea
45,@SportsCenter,SportsCenter,+,41.3,Sports channel, United States
46,@NiallOfficial,Niall Horan,-,41.1,Musician, Ireland
47,@NBA,NBA,+,41.1,Basketball league," United States
 Canada"
48,@KylieJenner,Kylie Jenner,-,40.3,Television personality and businesswoman, United States
49,@Drake,Drake,-,39.8,Rapper, Canada
50,@BBCWorld,BBC World News,+,39.0,News channel, United Kingdom
